Headword,FullFormDisplay,FullFormNormalized,PartOfSpeech,NotesForeign,Meanings,NumberOfMeanings,NotesNative,MnemonicHint,PronunciationText,AudioUrl,ReferenceBook,ReferenceSection,Exercise1Front,Exercise1Back,Exercise2Front,Exercise2Back,Exercise3Front,Exercise3Back,Tags
respondere,"respondēre, respondeō, respondī","respondere, respondeo, respondi",Verb,,antworten,1,,,,,Campus C1,3;34,,,,,,,Top500
rex,"rēx, rēgis","rex, regis",Nomen,m,der König,1,,,,,Campus C1,27,,,,,,,Top500
ridere,"rīdēre, rīdeō, rīsī","ridere, rideo, risi",Verb,,"lachen, auslachen",2,,,,,Campus C1,2;34,,,,,,,
rogare,"rogāre, rogō","rogare, rogo",Verb,,"fragen, bitten",2,,,,,Campus C1,8,,,,,,,Top500
Roma,"Rōma, Rōmae","Roma, Romae",Nomen,,Rom,1,,,,,Campus C1,7,,,,,,,
Romanus (Adj.),"Rōmānus, a, um","Romanus, a, um",Adjektiv,,römisch,1,,,,,Campus C1,9;14,,,,,,,
Romanus (Subst.),"Rōmānus, Rōmāni","Romanus, Romani",Nomen,,"der Römer, der Einwohner Roms",2,,,,,Campus C1,9,,,,,,,
Romulus / Remus,Rōmulus / Remus,Romulus / Remus,Nomen,,Romulus / Remus,1,Zwillingsbrüder und sagenhafte Gründer Roms,,,,Campus C1,32,,,,,,,
sacrum,"sacrum, sacri","sacrum, sacri",Nomen,,"das Opfer, das Heiligtum",2,,,,,Campus C1,17,,,,,,,
sacrum facere,sacrum facere,sacrum facere,,,"ein Opfer bringen, opfern",2,,,,,Campus C1,17,,,,,,,
saepe,saepe,saepe,Adverb,,oft,1,,,,,Campus C1,4,,,,,,,Top500
salus,"salūs, salūtis","salus, salutis",Nomen,f,"die Gesundheit, die Rettung, der Gruß, das Glück",4,,,,,Campus C1,25,,,,,,,Top500
salutare,"salūtāre, salūtō","salutare, saluto",Verb,,(be)grüßen,1,,,,,Campus C1,20,,,,,,,
salve! salvete!,salvē! salvēte!,salve! salvete!,,,"sei(d) gegrüßt!, grüß dich / euch!",2,,,,,Campus C1,20,,,,,,,
Saturnus,"Sāturnus, Sāturni","Saturnus, Saturni",Nomen,,Saturn,1,"Röm. Gott der Fruchtbarkeit, besonders des Ackerbaus. In seinem Tempel auf dem Forum Romanum war das aerārium, in dem die Staatskasse, das Staatsarchiv und die Feldzeichen der röm. Legionen aufbewahrt wurden.",,,,Campus C1,11,,,,,,,
sceleratus,"scelerātus, scelerāti","sceleratus, scelerati",Nomen,,der Verbrecher,1,,,,,Campus C1,5,,,,,,,
scire,"scīre, sciō, scīvī","scire, scio, scivi",Verb,,"wissen, kennen, verstehen",3,,,,,Campus C1,10,,,,,,,Top500
scribere,"scrībere, scrībō, scrīpsī","scribere, scribo, scripsi",Verb,,"schreiben, beschreiben",2,,,,,Campus C1,16;34,,,,,,,Top500
se,sē,se,Pronomen,Akk. / Abl.,sich,1,,,,,Campus C1,19,,,,,,,
secum,sēcum,secum,Pronomen,,"mit sich, bei sich",2,,"mecum, tecum",,,Campus C1,30,,,,,,,Top500
secundus,"secundus, a, um","secundus, a, um",Adjektiv,,"der (die, das) zweite; günstig",3,,,,,Campus C1,27,,,,,,,
sed,sed,sed,Subjunktion,,"aber, sondern",2,,,,,Campus C1,3,,,,,,,Top500
sedere,"sedēre, sedeō, sēdī, sessum","sedere, sedeo, sedi, sessum",Verb,,sitzen,1,,,,,Campus C1,3,,,,,,,
semper,semper,semper,Adverb,,immer,1,,,,,Campus C1,4,,,,,,,Top500
senator,"senātor, senātōris","senator, senatoris",Nomen,m,der Senator,1,,,,,Campus C1,18,,,,,,,
sentire,"sentīre, sentiō, sēnsī","sentire, sentio, sensi",Verb,,"fühlen, meinen, wahrnehmen",3,,sensibel,,,Campus C1,29,,,,,,,Top500
septem,septem,septem,,indekl.,sieben,1,,,,,Campus C1,12,,,,,,,
serva,"serva, servae","serva, servae",Nomen,,"die Sklavin, die Dienerin",2,,,,,Campus C1,1,,,,,,,
servare,"servāre, servō","servare, servo",Verb,,"bewahren, retten; beobachten",3,,"konservieren, observieren, servus",,,Campus C1,15,,,,,,,Top500
servitus,"servitūs, servitūtis","servitus, servitutis",Nomen,f,die Sklaverei,1,,,,,Campus C1,20,,,,,,,
servus,"servus, servi","servus, servi",Nomen,,"der Sklave, der Diener",2,,,,,Campus C1,1,,,,,,,Top500
sex,sex,sex,,indekl.,sechs,1,,,,,Campus C1,12,,,,,,,
si,sī,si,Subjunktion,,"wenn, falls",2,,,,,Campus C1,19,,,,,,,Top500
sibi,sibi,sibi,Pronomen,Dat.,(für) sich,1,,,,,Campus C1,30,,,,,,,
sic,sīc,sic,Adverb,,so,1,,,,,Campus C1,4,,,,,,,Top500
Sicilia,"Sicilia, Siciliae","Sicilia, Siciliae",Nomen,,die Insel Sizilien,1,"An der „Stiefelspitze“ Italiens, wurde 241 v. Chr. erste röm. Provinz.",,,,Campus C1,10,,,,,,,
signum,"sīgnum, sīgni","signum, signi",Nomen,,"das Merkmal, das Zeichen; die Statue",3,,Signal,,,Campus C1,32,,,,,,,Top500
silva,"silva, silvae","silva, silvae",Nomen,,der Wald,1,,,,,Campus C1,1,,,,,,,Top500
sine,sine (m. Abl.),sine (m. Abl.),Präposition,,ohne,1,,,,,Campus C1,12,,,,,,,Top500
sol,"sōl, sōlis","sol, solis",Nomen,m,die Sonne,1,,,,,Campus C1,23,,,,,,,Top500
solum,sōlum,solum,Adverb,,nur,1,,,,,Campus C1,21,,,,,,,
sonus,"sonus, soni","sonus, soni",Nomen,,"der Ton, der Klang, das Geräusch",3,,,,,Campus C1,5,,,,,,,
soror,"soror, sorōris","soror, sororis",Nomen,f,die Schwester,1,,,,,Campus C1,19,,,,,,,
spectare,"spectāre, spectō","spectare, specto",Verb,,"betrachten, anschauen, hinsehen",3,,,,,Campus C1,9,,,,,,,
sperare,"spērāre, spērō","sperare, spero",Verb,,"erwarten, hoffen",2,,,,,Campus C1,31,,,,,,,
stare,"stāre, stō, stetī","stare, sto, steti",Verb,,stehen,1,,,,,Campus C1,16;28,,,,,,,Top500
statim,statim,statim,Adverb,,sofort,1,,,,,Campus C1,5,,,,,,,
statua,"statua, statuae","statua, statuae",Nomen,,die Statue,1,,,,,Campus C1,11,,,,,,,
studere,"studēre, studeō, studuī","studere, studeo, studui",Verb,,"sich bemühen, studieren",2,,,,,Campus C1,4,,,,,,,
studium,"studium, studii","studium, studii",Nomen,,"die Beschäftigung, das Engagement, das Interesse",3,,,,,Campus C1,11,,,,,,,Top500
stultus,"stultus, a, um","stultus, a, um",Adjektiv,,dumm,1,,,,,Campus C1,14,,,,,,,
sub (m. Abl.),sub (m. Abl.),sub (m. Abl.),Präposition,,unter (wo?),1,,,,,Campus C1,24,,,,,,,Top500
sub (m. Akk.),sub (m. Akk.),sub (m. Akk.),Präposition,,unter (wohin?),1,,,,,Campus C1,24,,,,,,,
subito,subitō,subito,Adverb,,plötzlich,1,,,,,Campus C1,5,,,,,,,
summus,"summus, a, um","summus, a, um",Adjektiv,,"der höchste, oberste",2,,,,,Campus C1,15,,,,,,,Top500
sunt,sunt,sunt,,,sie sind,1,,,,,Campus C1,2,,,,,,,
superare,"superāre, superō","superare, supero",Verb,,"besiegen, überwinden, übertreffen",3,,,,,Campus C1,9,,,,,,,Top500
superbia,"superbia, superbiae","superbia, superbiae",Nomen,,"der Stolz, der Hochmut",2,,,,,Campus C1,9,,,,,,,
surgere,"surgere, surgō, surrēxī","surgere, surgo, surrexi",Verb,,"aufrichten; sich erheben, aufstehen",3,,,,,Campus C1,23;31,,,,,,,
suus,"suus, a, um","suus, a, um",Adjektiv,,"sein, ihr",2,,,,,Campus C1,30,,,,,,,Top500
Syria,"Syria, Syriae","Syria, Syriae",Nomen,,Syrien,1,Seit 64 v. Chr. röm. Provinz mit der Hauptstadt Antiocheia (heute Antakya),,,,Campus C1,9,,,,,,,
tabula,"tabula, tabulae","tabula, tabulae",Nomen,,"die (Schreib-)Tafel, das Gemälde",2,,,,,Campus C1,4,,,,,,,
tacere,"tacēre, taceō, tacuī, tacitum","tacere, taceo, tacui, tacitum",Verb,,"schweigen, verschweigen",2,,,,,Campus C1,2,,,,,,,
tam,tam,tam,Adverb,,so,1,,,,,Campus C1,20,,,,,,,Top500
tamen,tamen,tamen,Adverb,,"dennoch, jedoch",2,,,,,Campus C1,3,,,,,,,Top500
tamquam,tamquam,tamquam,Adverb,,wie,1,,,,,Campus C1,32,,,,,,,
tandem,tandem,tandem,Adverb,,endlich,1,,,,,Campus C1,7,,,,,,,Top500
tantum,tantum,tantum,Adverb,nachgestellt,nur,1,,,,,Campus C1,5,,,,,,,Top500
tantus,"tantus, a, um","tantus, a, um",Adjektiv,,"so groß, so viel",2,,,,,Campus C1,18,,,,,,,Top500
Tarquinii,"Tarquiniī, Tarquiniorum","Tarquinii, Tarquiniorum",Nomen,,die Tarquinier,1,Etruskisches Königsgeschlecht,,,,Campus C1,36,,,,,,,
Tarquinius Superbus,Tarquinius Superbus,Tarquinius Superbus,Nomen,,Tarquinius Superbus,1,Letzter etruskischer König von Rom,,,,Campus C1,36,,,,,,,
Tartarus,"Tartarus, Tartari","Tartarus, Tartari",Nomen,,"der Tartarus, die Unterwelt",2,,,,,Campus C1,21,,,,,,,
te,tē,te,Pronomen,Akk.,dich,1,,,,,Campus C1,13,,,,,,,
tectum,"tēctum, tēcti","tectum, tecti",Nomen,,das Dach; das Haus,2,,,,,Campus C1,25,,,,,,,
tecum,tēcum,tecum,Pronomen,,mit dir,1,,,,,Campus C1,13,,,,,,,
templum,"templum, templi","templum, templi",Nomen,,der Tempel,1,,,,,Campus C1,11,,,,,,,Top500
temptare,"temptāre, temptō","temptare, tempto",Verb,,"angreifen; prüfen, versuchen",3,,,,,Campus C1,26,,,,,,,
tenebrae,"tenebrae, tenebrārum","tenebrae, tenebrarum",Nomen,f Plural,"die Dunkelheit, die Finsternis",2,,,,,Campus C1,26,,,,,,,
tenere,"tenēre, teneō, tenuī, tentum","tenere, teneo, tenui, tentum",Verb,,"halten, festhalten, besitzen; beherrschen",4,,,,,Campus C1,4,,,,,,,Top500
terra,"terra, terrae","terra, terrae",Nomen,,"die Erde, das Land",2,,,,,Campus C1,21,,,,,,,Top500
terrere,"terrēre, terreō, terruī, territum","terrere, terreo, terrui, territum",Verb,,erschrecken,1,,,,,Campus C1,5,,,,,,,
tertius,"tertius, a, um","tertius, a, um",Adjektiv,,"der (die, das) dritte",2,,,,,Campus C1,27,,,,,,,Top500
thermae,"thermae, thermārum","thermae, thermarum",Nomen,f Plural,"die warmen Bäder, die Thermen",2,,,,,Campus C1,19,,,,,,,
tibi,tibi,tibi,Pronomen,Dat.,dir,1,,,,,Campus C1,13,,,,,,,
timere,"timēre, timeō, timuī","timere, timeo, timui",Verb,,"fürchten, Angst haben",2,,,,,Campus C1,2,,,,,,,Top500
timor,"timor, timōris","timor, timoris",Nomen,m,"die Angst, die Furcht",2,,,,,Campus C1,25,,,,,,,
toga,"toga, togae","toga, togae",Nomen,,die Toga,1,,,,,Campus C1,7,,,,,,,
torquere,"torquēre, torqueō, torsī","torquere, torqueo, torsi",Verb,,drehen; quälen,2,,,,,Campus C1,5;27,,,,,,,
trahere,"trahere, trahō, trāxī","trahere, traho, traxi",Verb,,"schleppen, ziehen",2,,,,,Campus C1,16;28,,,,,,,Top500
tres,"trēs, trēs, tria","tres, tres, tria",Adjektiv,,drei,1,,,,,Campus C1,33,,,,,,,Top500
tribunus,"tribūnus, tribūni","tribunus, tribuni",Nomen,,der Tribun,1,"Führender Vertreter eines Stadtbezirks, einer Legion oder der Plebs",,,,Campus C1,37,,,,,,,
tristis,"trīstis, trīstis, trīste","tristis, tristis, triste",Adjektiv,,"traurig, unfreundlich",2,,,,,Campus C1,33,,,,,,,
Troianus,"Trōiānus, a, um","Troianus, a, um",Adjektiv,,"trojanisch; Subst. der Trojaner, der Einwohner von Troja",3,,,,,Campus C1,29,,,,,,,
tu,tū,tu,Pronomen,Nom.,du,1,Betont,,,,Campus C1,13,,,,,,,Top500
tum,tum,tum,Adverb,,"da, dann, darauf, damals",4,,,,,Campus C1,4,,,,,,,Top500
tunica,"tunica, tunicae","tunica, tunicae",Nomen,,die Tunika,1,,,,,Campus C1,7,,,,,,,
turba,"turba, turbae","turba, turbae",Nomen,,die (Menschen-)Menge,1,,,,,Campus C1,7,,,,,,,
Turnus,"Turnus, Turni","Turnus, Turni",Nomen,,Turnus,1,"Anführer der Rutuler, Gegner des Äneas",,,,Campus C1,31,,,,,,,
turpis,"turpis, turpis, turpe","turpis, turpis, turpe",Adjektiv,,"unanständig, hässlich, schändlich",3,,,,,Campus C1,33,,,,,,,
tutus,"tūtus, a, um","tutus, a, um",Adjektiv,,sicher,1,,,,,Campus C1,35,,,,,,,Top500
tuus,"tuus, a, um","tuus, a, um",Adjektiv,,dein,1,,,,,Campus C1,14,,,,,,,Top500
ubi,ubī?,ubi?,Adverb,,wo?,1,,,,,Campus C1,8,,,,,,,Top500
umbra,"umbra, umbrae","umbra, umbrae",Nomen,,der Schatten,1,,,,,Campus C1,12,,,,,,,
unde,unde?,unde?,Adverb,,woher?,1,,,,,Campus C1,10,,,,,,,Top500
unus,"ūnus, a, um","unus, a, um",Adjektiv,,"einer, ein einziger",2,,,,,Campus C1,33,,,,,,,Top500
unus e / ex,ūnus ē / ex,unus e / ex,,m. Abl.,einer von,1,,,,,Campus C1,33,,,,,,,Top500
urbs,"urbs, urbis","urbs, urbis",Nomen,f (Genitiv Plural urbium),die Stadt; die Stadt Rom,2,,,,,Campus C1,22,,,,,,,Top500
ut,ut,ut,Adverb,,wie,1,,,,,Campus C1,10,,,,,,,Top500
uxor,"uxor, uxōris","uxor, uxoris",Nomen,f,die Ehefrau,1,,,,,Campus C1,18,,,,,,,Top500
vale! valete!,valē! valēte!,vale! valete!,Verb,Imperativ,Leb wohl! Lebt wohl!,1,,,,,Campus C1,7,,,,,,,
valere,"valēre, valeō, valuī","valere, valeo, valui",Verb,,"gesund sein, stark sein, Einfluss haben",3,,,,,Campus C1,7,,,,,,,Top500
varius,"varius, a, um","varius, a, um",Adjektiv,,"bunt, verschieden, vielfältig",3,,,,,Campus C1,21,,,,,,,
vel,vel,vel,Subjunktion,,oder,1,,,,,Campus C1,22,,,,,,,Top500
velle,"velle, volō, voluī","velle, volo, volui",Verb,,wollen,1,,,,,Campus C1,19;25,,,,,,,Top500
vendere,"vēndere, vēndō, vendidī, venditum","vendere, vendo, vendidi, venditum",Verb,,verkaufen,1,,,,,Campus C1,18,,,,,,,
venia,"venia, veniae","venia, veniae",Nomen,,"der Gefallen; die Nachsicht, die Verzeihung",3,,,,,Campus C1,31,,,,,,,
venire,"venīre, veniō, vēnī","venire, venio, veni",Verb,,kommen,1,,,,,Campus C1,10;27,,,,,,,Top500
ventus,"ventus, venti","ventus, venti",Nomen,,der Wind,1,,,,,Campus C1,6,,,,,,,Top500
verbum,"verbum, verbi","verbum, verbi",Nomen,,"das Wort, die Äußerung",2,,,,,Campus C1,11,,,,,,,Top500
vertere,"vertere, vertō, vertī","vertere, verto, verti",Verb,,"drehen, wenden",2,,,,,Campus C1,27,,,,,,,
vester,"vester, vestra, vestrum","vester, vestra, vestrum",Adjektiv,,euer,1,,,,,Campus C1,15,,,,,,,Top500
Vesuvius,"Vesuvius, Vesuvii","Vesuvius, Vesuvii",Nomen,,Vesuv,1,Vulkan in Kampanien,,,,Campus C1,16,,,,,,,
via,"via, viae","via, viae",Nomen,,"der Weg, die Straße",2,,,,,Campus C1,1,,,,,,,Top500
victor,"victor, victōris","victor, victoris",Nomen,m,der Sieger,1,,,,,Campus C1,22,,,,,,,Top500
videre,"vidēre, videō, vīdī","videre, video, vidi",Verb,,sehen,1,,,,,Campus C1,7;27,,,,,,,Top500
viginti,vīgintī,viginti,,indekl.,zwanzig,1,,,,,Campus C1,19,,,,,,,
villa,"vīlla, vīllae","villa, villae",Nomen,,"das Haus, das Landhaus",2,,,,,Campus C1,1,,,,,,,
vincere,"vincere, vincō, vīcī","vincere, vinco, vici",Verb,,"(be)siegen, übertreffen",2,,,,,Campus C1,27,,,,,,,Top500
vinea,"vīnea, vīneae","vinea, vineae",Nomen,,der Weinberg; der Weinstock,2,,,,,Campus C1,16,,,,,,,
vinum,"vīnum, vīni","vinum, vini",Nomen,,der Wein,1,,,,,Campus C1,17,,,,,,,
violare,"violāre, violō","violare, violo",Verb,,"verwunden, verletzen, entehren",3,,,,,Campus C1,31,,,,,,,
vir,"vir, virī","vir, viri",Nomen,m,der Mann,1,,,,,Campus C1,15,,,,,,,Top500
virgo,"virgō, virginis","virgo, virginis",Nomen,f,"das Mädchen, die Jungfrau",2,,,,,Campus C1,36,,,,,,,Top500
virtus,"virtūs, virtūtis","virtus, virtutis",Nomen,f,"die Tapferkeit, die Tüchtigkeit, die Leistung; die Tugend",4,,,,,Campus C1,22,,,,,,,Top500
vita,"vīta, vītae","vita, vitae",Nomen,,das Leben,1,,,,,Campus C1,15,,,,,,,Top500
vivere,"vīvere, vīvō, vīxī","vivere, vivo, vixi",Verb,,leben,1,,,,,Campus C1,30,,,,,,,Top500
vix,vix,vix,Adverb,,"kaum, (nur) mit Mühe",2,,,,,Campus C1,25,,,,,,,
vobis,vōbīs,vobis,Pronomen,Dat.,euch,1,,,,,Campus C1,13,,,,,,,
vobiscum,vōbīscum,vobiscum,Pronomen,,mit euch,1,,,,,Campus C1,13,,,,,,,
vocare,"vocāre, vocō","vocare, voco",Verb,,"rufen; nennen, benennen",3,,,,,Campus C1,8,,,,,,,Top500
voluntas,"voluntās, voluntātis","voluntas, voluntatis",Nomen,f,"der Wille, die Absicht",2,,,,,Campus C1,20,,,,,,,
vos,vōs,vos,Pronomen,Nom. / Akk.,ihr / euch,1,,,,,Campus C1,13,,,,,,,Top500
vox,"vōx, vōcis","vox, vocis",Nomen,f,"die Stimme, die Äußerung, der Laut",3,,,,,Campus C1,25,,,,,,,Top500
Vulcanus,"Vulcānus, Vulcāni","Vulcanus, Vulcani",Nomen,,Vulkan,1,"Griech. Hephaistos; Gott der Feuerﬂamme und der Schmiedekunst, schmiedete Blitze des Jupiter. Seine Schmiede lag unter dem sizilischen Vulkan Ätna.",,,,Campus C1,10,,,,,,,
